[2018-07-17T16:33:13.012Z]	<jungly>	... then there are others that we might need to slap together, we don't know if they will happen or won't... they are in red
[2018-07-17T16:33:43.299Z]	<jungly>	... it is politicial reasons we have things scheduled, or there are implementation delays
[2018-07-17T16:33:54.977Z]	<jungly>	... each spec has a diff. reason for being where it is
[2018-07-17T16:34:04.682Z]	<jungly>	... any questions on the diagram
[2018-07-17T16:34:06.912Z]	<ChristopherA>	q+
[2018-07-17T16:34:08.497Z]	<JoeAndrieu_>	q?
[2018-07-17T16:34:14.038Z]	<JoeAndrieu_>	ack ChristopherA
[2018-07-17T16:34:14.812Z]	<heathervescent>	q+
[2018-07-17T16:34:34.129Z]	<dcc>	+q
[2018-07-17T16:34:49.183Z]	<jungly>	ChristopherA: am seeing sig suites on the cryptographic side, but we are encountering work on data minimisation, canonicalisation and sig suite issues
[2018-07-17T16:34:57.180Z]	<manu>	q+ dcc
[2018-07-17T16:35:01.925Z]	<jungly>	... example, the redaction sig suite, it is more about the canonicalisation
[2018-07-17T16:35:08.007Z]	<manu>	voip: noise?
[2018-07-17T16:35:24.338Z]	<manu>	voip: noise?
[2018-07-17T16:35:29.020Z]	<jungly>	... basically every node in the graph is hashed and the sum of the graph is hashed, which is completely independent of which crypto suite is used
[2018-07-17T16:35:35.298Z]	<jungly>	... where does all this fit in?
[2018-07-17T16:35:46.888Z]	<JoeAndrieu_>	q?
[2018-07-17T16:35:51.638Z]	<jungly>	... requirements like that people don't over reveal or correlate
[2018-07-17T16:36:11.705Z]	<jungly>	manu: if we don't have specs where it looks like people aren't working on it, then it doesn't get in there
[2018-07-17T16:36:27.000Z]	<jungly>	... for example, the redaction sutie, no one is implementing it in production
[2018-07-17T16:36:49.605Z]	<jungly>	... it is an important spec, but is it a nice to have?
[2018-07-17T16:37:02.503Z]	<JoeAndrieu_>	q+ adrian
[2018-07-17T16:37:03.702Z]	<JoeAndrieu_>	q?
[2018-07-17T16:37:04.838Z]	<jungly>	... in general, if not being worked on, then it is not in the spec
[2018-07-17T16:37:08.484Z]	<JoeAndrieu_>	ack heathervescent
[2018-07-17T16:37:39.298Z]	<jungly>	heathervescent: looks like a roadmap from internal ccg how we are building tech
[2018-07-17T16:37:56.363Z]	<jungly>	... i have xxx about how we can drive adoption, tech lifecycle adoption
[2018-07-17T16:38:10.621Z]	<jungly>	... this will help to see how tech is rolled out to be adopted
[2018-07-17T16:38:16.681Z]	<ChristopherA>	q+
[2018-07-17T16:38:18.351Z]	<jungly>	... to change the market
[2018-07-17T16:38:38.610Z]	<jungly>	... i have understanding about what happens when it goes out into market and is adopted
[2018-07-17T16:38:58.945Z]	<jungly>	... if you want to have evidence or reasons for the need for such specs
[2018-07-17T16:39:03.404Z]	<jungly>	... or standards
[2018-07-17T16:39:19.003Z]	<jungly>	... will be interesting to map out the foresight about tech adoption
[2018-07-17T16:39:35.211Z]	<jungly>	manu: aboslutely, this roadmap is missing the user story or use cases
[2018-07-17T16:39:44.168Z]	<jungly>	... which will be handy to decision makers
[2018-07-17T16:39:46.712Z]	<chase>	I'd love to help with that Heather
[2018-07-17T16:40:13.883Z]	<jungly>	heathervescent: i do think there is gap here about people appreciating the inputs of a trained futurist
[2018-07-17T16:40:26.758Z]	<JoeAndrieu_>	q?
[2018-07-17T16:40:30.103Z]	<jungly>	heathervescent: can result in a lot of delicious stuff and will be interesting to do it here
[2018-07-17T16:40:38.758Z]	<jungly>	... will be great to apply this to a tech roadmap
[2018-07-17T16:40:52.989Z]	<jungly>	... can we do it with Project or something
[2018-07-17T16:41:03.447Z]	<jungly>	Andrieu: will be a great work item
[2018-07-17T16:41:32.986Z]	<jungly>	... samantha and manu chimed in to help you out..could be a RWOT paper
[2018-07-17T16:41:33.110Z]	<JoeAndrieu_>	q?
[2018-07-17T16:41:36.059Z]	<JoeAndrieu_>	ack dcc
[2018-07-17T16:41:49.130Z]	<jungly>	dcc: haivng a little trouble understanding the chart
[2018-07-17T16:41:58.321Z]	<jungly>	... presume red moves to green
[2018-07-17T16:42:03.743Z]	<jungly>	... why aren't they all green?
[2018-07-17T16:42:16.821Z]	<jungly>	manu: was hard to pack info into this
[2018-07-17T16:42:24.487Z]	<dlongley>	maybe the timeline should say "goes green"
[2018-07-17T16:42:31.864Z]	<jungly>	... colours reflect maturity (as of today)
[2018-07-17T16:42:49.681Z]	<jungly>	... should be updated every 3 to 6 months
[2018-07-17T16:43:00.837Z]	<jungly>	dcc: doesn't mean when it is expected to be done?
[2018-07-17T16:43:01.831Z]	<dlongley>	so blue
[2018-07-17T16:43:21.918Z]	<jungly>	manu: expected to be good enough to be put into an internation standard.. then it takes 2 years to be ready
[2018-07-17T16:43:46.678Z]	<jungly>	manu: example of XXX works starts in 2020
[2018-07-17T16:44:05.258Z]	<jungly>	... it will be difficult to start work in 2020 from a political perspective
[2018-07-17T16:44:09.429Z]	<dlongley>	so key for timeline should say "when a WG starts"
[2018-07-17T16:44:31.188Z]	<jungly>	... if DIDs don't catch on, then we can't start on
[2018-07-17T16:44:49.437Z]	<JoeAndrieu_>	q?
[2018-07-17T16:44:51.864Z]	<jungly>	dcc: problem with being correct for a roadmap is that then you will be killed as a witch!
[2018-07-17T16:44:56.368Z]	<jungly>	manu: laughs
[2018-07-17T16:44:56.751Z]	<heathervescent>	LOL, no one ever gets the future "correct."
[2018-07-17T16:44:58.658Z]	<JoeAndrieu_>	ack adrian
[2018-07-17T16:45:10.185Z]	<jungly>	adrian: my work is around human agency
[2018-07-17T16:45:31.123Z]	<jungly>	... manu mentions in the diagram.. because i depict the self. sov. id as human agency
[2018-07-17T16:46:13.127Z]	<jungly>	... UMA, and others, non in standards track in ieee, but there are groups (3/4 standards) or 7000 series working on AI and XXX
[2018-07-17T16:46:47.197Z]	<manu>	q?
[2018-07-17T16:46:48.951Z]	<JoeAndrieu_>	q?
[2018-07-17T16:46:51.532Z]	<manu>	q+
[2018-07-17T16:46:55.607Z]	<JoeAndrieu_>	ack ChristopherA
[2018-07-17T16:46:58.267Z]	<manu>	q-
[2018-07-17T16:47:00.510Z]	<jungly>	... my project hiev1 is implementation of such stacks, but i want to know how we deal with authentication, delegation and xxx in this diagram
[2018-07-17T16:47:05.992Z]	<manu>	q+ to respond to delegation/agency/etc.
[2018-07-17T16:47:19.386Z]	<jungly>	ChristopherA: viewing this as a lens of who is coding things, is not enough
[2018-07-17T16:47:37.491Z]	<jungly>	... our charter includes importance of privacy and deployment of stuff
[2018-07-17T16:47:49.018Z]	<jungly>	... so there are all sorts of holes
[2018-07-17T16:48:04.899Z]	<dlongley>	sounds like this roadmap is doing a good job of identifying gaps! :)
[2018-07-17T16:48:10.581Z]	<jungly>	... authentication, for example, are we going to use UMAs auth receipts
[2018-07-17T16:48:25.247Z]	<JoeAndrieu_>	q?
[2018-07-17T16:48:27.345Z]	<JoeAndrieu_>	ack manu
[2018-07-17T16:48:36.227Z]	<jungly>	... just identifying who is working on what will lead us to a hole
[2018-07-17T16:48:40.238Z]	<jungly>	manu: this is just one lens
[2018-07-17T16:48:57.030Z]	<jungly>	there was another lens mentioned, and adrian pointed to another lens
[2018-07-17T16:49:10.203Z]	<jungly>	... this diagram was intended to be a technical roadmap
[2018-07-17T16:49:25.158Z]	<jungly>	... not how tech is difused or things tht you are talk about christopher
[2018-07-17T16:49:42.167Z]	<JoeAndrieu_>	q?
[2018-07-17T16:49:45.932Z]	<jungly>	... this is a proposal for a tech roadmap and i hoped for just this sort of conversation
[2018-07-17T16:50:16.118Z]	<jungly>	... ocap-lp hp ocap auth, dkms stuff.. i tried to link this stuff
[2018-07-17T16:50:23.783Z]	<jungly>	... uma is missing
[2018-07-17T16:50:35.898Z]	<jungly>	... we need to figure what arrow we are drawing from where
[2018-07-17T16:50:48.371Z]	<JoeAndrieu_>	q?
[2018-07-17T16:50:48.485Z]	<jungly>	... great conversation for this group to have
[2018-07-17T16:51:20.397Z]	<jungly>	adrian: we might want to include groups like DID foundation, who are working in parallel with things related to this roadmap
[2018-07-17T16:51:23.163Z]	<JoeAndrieu_>	q+
[2018-07-17T16:51:41.461Z]	<JoeAndrieu_>	q+
[2018-07-17T16:51:43.897Z]	<jungly>	... would it make sense to engage them and mention them in this diagram
[2018-07-17T16:52:02.738Z]	<JoeAndrieu_>	ack JoeAndrieu_
[2018-07-17T16:52:04.387Z]	<manu>	ack JoeAndrieu_
[2018-07-17T16:52:05.138Z]	<jungly>	manu: I put in pointers in this diagram for DIF to contribute to this
[2018-07-17T16:52:46.050Z]	<jungly>	JoeAndrieu: We don't have a perspective on what needs to be built in terms of storage and consent
[2018-07-17T16:52:50.579Z]	<JoeAndrieu_>	q?
[2018-07-17T16:52:58.957Z]	<JoeAndrieu_>	https://w3c-ccg.github.io/did-wg-charter/
[2018-07-17T16:53:03.437Z]	<manu>	Topic: DID WG Charter
[2018-07-17T16:53:12.799Z]	<jungly>	... DID charter.. this is the first full draft shared with the group
[2018-07-17T16:53:29.220Z]	<jungly>	manu: long standing charter item to create an official standard
[2018-07-17T16:53:44.438Z]	<jungly>	... members end up voting on the charter
[2018-07-17T16:53:57.770Z]	<jungly>	.. and if enough vote then you get to go ahead to work on the thing
[2018-07-17T16:54:28.888Z]	<jungly>	... requirements: focussed, implementations in the real world and should be far along in knowing what is going to be standardised
[2018-07-17T16:54:53.657Z]	<jungly>	... we have been following roughly the same specifications, that shape that w3c memberhship is interested in
[2018-07-17T16:55:02.117Z]	<jungly>	... we have focussed only on the DID specification
[2018-07-17T16:55:10.462Z]	<jungly>	... two things the wg should work on
[2018-07-17T16:55:20.506Z]	<jungly>	... DID models and DID use cases
[2018-07-17T16:55:32.446Z]	<jungly>	... we are working on both in this CG in the past months
[2018-07-17T16:55:42.762Z]	<jungly>	... take that material and make standard out of it
[2018-07-17T16:55:51.466Z]	<markus_sabadello_>	q+
[2018-07-17T16:56:02.969Z]	<jungly>	... liam, from w3c, suggested we remove some groups we thought we wanted to co-operate with
[2018-07-17T16:56:23.166Z]	<jungly>	... the really imporant stuff, mission of group, scope, not in scope and what will be delivered
[2018-07-17T16:56:48.390Z]	<jungly>	... get DID spec standardised, out of scope, anything related to Auth, browser apis
[2018-07-17T16:57:02.110Z]	<jungly>	... not standardising any DID methods
[2018-07-17T16:57:10.800Z]	<jungly>	... in general, not going to solve identity on the web
[2018-07-17T16:57:27.237Z]	<jungly>	.. this WG is just there to standarise DID specs
[2018-07-17T16:57:30.118Z]	<JoeAndrieu_>	https://github.com/w3c-ccg/did-wg-charter
[2018-07-17T16:57:44.128Z]	<jungly>	JoeAndrieu: here is the url for that repo
[2018-07-17T16:57:50.039Z]	<jungly>	... issues there are welcome
[2018-07-17T16:57:59.566Z]	<jungly>	... if you see a typo, or an area you can improve
[2018-07-17T16:58:06.141Z]	<JoeAndrieu_>	ack markus_sabadello
[2018-07-17T16:58:18.629Z]	<JoeAndrieu_>	q?
[2018-07-17T16:58:21.520Z]	<jungly>	markus: asked the same question last time... did resolution, will it be in scope
[2018-07-17T16:58:29.458Z]	<JoeAndrieu_>	ack https://github.com/w3c-ccg/did-wg-charter
[2018-07-17T16:58:35.005Z]	<jungly>	manu: DID resolution is not in scope, doesn't mention it as a work item
[2018-07-17T16:58:38.071Z]	<JoeAndrieu_>	ack markus_sabadello_
[2018-07-17T16:58:51.620Z]	<jungly>	... if there were two interoperable implementations and if they talked to each toehr
[2018-07-17T16:59:01.639Z]	<jungly>	... you can always, put in optional work items
[2018-07-17T16:59:18.340Z]	<jungly>	... we could say did resolutions could be an optional work items
[2018-07-17T16:59:30.499Z]	<jungly>	... down side is sometimes companies object saying you are trying to do too much
[2018-07-17T16:59:41.368Z]	<rgrant>	q+ how is DID resolution not a direct consequence of the DID spec?
[2018-07-17T16:59:49.081Z]	<jungly>	... i think we should really incubate did resoltuion a bit more in the CG
[2018-07-17T17:00:17.606Z]	<JoeAndrieu_>	ack rgrant
[2018-07-17T17:00:19.168Z]	<JoeAndrieu_>	https://github.com/WebOfTrustInfo/rebooting-the-web-of-trust-fall2017/blob/master/final-documents/amira.pdf
[2018-07-17T17:00:25.618Z]	<jungly>	markus: I think did resolution is close to the core model, but i understand the options
[2018-07-17T17:00:46.017Z]	<jungly>	rgrant: will defer my question, we need to look at what DID XX is?
[2018-07-17T17:00:46.018Z]	<kimhd> present+ SamanthaMatthewsChase, agropper, cwebber, dcc, chrisb, jungly, drummond, agropper, heather, simonas, dmitriz, jarlath, Yancy, Orgel, cycryptr, tzviya
